1.Id: l_3_19
2.The Number Of Stands: 28
3.The Number Of Flights: 62
4.The Number Of Tasks: 236
5.Flight Information Section
1,320,P,0:30,60,"[['U', 2, 3], ['U', 3, 1], ['U', 4, 1], ['L', 4, 2, 71]]",15
2,320,P,1:30,60,"[['U', 2, 4], ['U', 2, 3], ['L', 2, 3, 102]]",15
3,320,P,0:50,50,"[['U', 2, 3], ['U', 4, 1], ['U', 1, 2], ['L', 5, 3, 107]]",19
4,320,P,1:40,50,"[['U', 4, 4], ['U', 4, 3], ['L', 1, 3, 101]]",19
5,320,P,0:55,180,"[['U', 4, 2], ['U', 2, 2], ['U', 1, 3], ['L', 3, 3, 81]]",20
8,320,P,0:10,110,"[['U', 1, 4], ['U', 1, 1], ['L', 5, 2, 76]]",1
9,737,C,1:25,80,"[['U', 3, 2], ['U', 2, 4], ['U', 4, 3]]",69
10,737,C,2:45,80,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1]]",69
11,330,C,2:05,50,"[['U', 3, 4], ['U', 3, 4], ['U', 2, 4], ['U', 2, 4], ['U', 2, 4], ['U', 1, 2]]",66
12,330,C,2:55,50,"[['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 2]]",66
13,737,C,2:15,55,"[['U', 3, 4], ['U', 3, 1], ['U', 2, 2], ['U', 4, 2]]",65
14,737,C,3:10,55,"[['U', 2, 4], ['U', 2, 4], ['U', 2, 1]]",65
15,737,C,2:35,140,"[['U', 1, 1], ['U', 2, 4], ['U', 2, 4], ['U', 4, 3]]",64
16,737,C,4:55,140,"[['U', 2, 4], ['U', 2, 4], ['U', 2, 3]]",64
17,330,C,2:40,90,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 1], ['U', 2, 4], ['U', 2, 1], ['U', 4, 4], ['U', 4, 4]]",63
18,330,C,4:10,90,"[['U', 2, 4], ['U', 2, 4], ['U', 2, 4], ['U', 2, 4], ['U', 2, 4], ['U', 2, 2]]",63
19,744,C,2:45,165,"[['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 1], ['U', 1, 4], ['U', 1, 4], ['U', 1, 2], ['U', 2, 4], ['U', 2, 4], ['U', 2, 4], ['U', 2, 2]]",68
20,744,C,5:30,165,"[['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 2]]",68
21,330,C,2:50,165,"[['U', 3, 4], ['U', 3, 1], ['U', 4, 4], ['U', 4, 4], ['U', 4, 4], ['U', 4, 1], ['U', 2, 4], ['U', 2, 4], ['U', 2, 4], ['U', 2, 2]]",67
24,320,P,0:35,115,"[['U', 3, 4], ['U', 3, 3], ['L', 5, 3, 102]]",2
25,330,C,5:30,160,"[['U', 1, 4], ['U', 1, 1], ['U', 4, 4], ['U', 4, 3], ['U', 3, 4], ['U', 3, 4], ['U', 3, 4], ['U', 3, 4], ['U', 3, 2]]",69
27,330,C,5:50,105,"[['U', 1, 1], ['U', 3, 4], ['U', 3, 4], ['U', 3, 4], ['U', 3, 3], ['U', 2, 4], ['U', 2, 4], ['U', 2, 1]]",70
28,330,C,7:35,105,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 4], ['U', 3, 4], ['U', 3, 4], ['U', 3, 4]]",70
29,737,C,7:50,100,"[['U', 3, 1], ['U', 4, 1], ['U', 2, 4], ['U', 2, 3]]",68
34,900,P,0:35,80,"[['U', 3, 4], ['L', 8, 2, 43]]",3
42,320,P,0:45,115,"[['U', 1, 4], ['U', 1, 3], ['L', 5, 3, 90]]",4
48,320,P,0:50,80,"[['U', 2, 4], ['U', 2, 3], ['L', 6, 3, 87]]",5
56,900,P,1:00,120,"[['U', 3, 4], ['L', 4, 2, 57]]",6
60,738,P,1:00,90,"[['U', 1, 4], ['U', 1, 3], ['L', 1, 3, 97]]",7
68,900,P,1:10,110,"[['U', 4, 4], ['L', 6, 2, 45]]",8
72,900,P,1:30,80,"[['U', 3, 4], ['U', 3, 1], ['L', 2, 2, 50]]",9
76,900,P,1:45,115,"[['U', 4, 4], ['L', 8, 2, 61]]",10
80,320,P,1:50,80,"[['U', 2, 4], ['U', 2, 3], ['L', 7, 2, 76]]",11
84,320,P,2:05,110,"[['U', 3, 4], ['U', 3, 3], ['L', 6, 3, 98]]",12
88,737,C,2:05,85,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 1]]",70
94,738,P,2:20,105,"[['U', 4, 4], ['U', 4, 4], ['L', 8, 3, 112]]",13
98,738,P,2:25,90,"[['U', 4, 4], ['U', 4, 4], ['U', 4, 1], ['L', 2, 3, 89]]",14
102,737,P,2:30,85,"[['U', 2, 4], ['U', 2, 1], ['L', 4, 2, 75]]",16
106,738,P,2:40,105,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 1], ['L', 7, 3, 115]]",17
110,900,P,2:45,95,"[['U', 3, 4], ['L', 5, 2, 50]]",18
116,738,P,4:15,95,"[['U', 4, 4], ['U', 4, 4], ['L', 2, 3, 92]]",1
122,738,P,4:15,100,"[['U', 4, 4], ['U', 4, 4], ['L', 5, 3, 86]]",2
128,190,P,4:15,85,"[['U', 2, 3], ['L', 3, 2, 55]]",3
132,738,P,4:30,115,"[['U', 1, 4], ['U', 1, 4], ['L', 7, 3, 94]]",4
140,190,P,4:40,90,"[['U', 1, 3], ['L', 2, 2, 67]]",5
148,320,P,4:55,120,"[['U', 1, 4], ['U', 1, 2], ['L', 7, 3, 103]]",6
158,320,P,5:20,85,"[['U', 2, 4], ['U', 2, 3], ['L', 8, 3, 89]]",7
162,320,P,5:25,105,"[['U', 4, 4], ['U', 4, 3], ['L', 6, 3, 103]]",8
168,320,P,5:35,85,"[['U', 4, 4], ['U', 4, 1], ['L', 4, 2, 68]]",9
174,738,P,5:40,115,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 1], ['L', 4, 3, 87]]",10
178,320,P,5:45,110,"[['U', 3, 4], ['U', 3, 2], ['L', 7, 3, 100]]",11
186,738,P,5:55,90,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 1], ['L', 7, 2, 76]]",12
192,320,P,6:15,90,"[['U', 1, 4], ['U', 1, 2], ['L', 6, 2, 79]]",13
196,190,P,6:25,100,"[['U', 2, 3], ['L', 8, 2, 68]]",14
200,320,P,6:35,80,"[['U', 2, 4], ['U', 2, 2], ['L', 6, 3, 85]]",15
204,320,P,6:50,115,"[['U', 4, 4], ['U', 4, 2], ['L', 3, 3, 112]]",16
212,320,P,6:50,85,"[['U', 1, 4], ['U', 1, 3], ['L', 1, 3, 85]]",17
216,320,P,7:15,90,"[['U', 2, 4], ['U', 2, 2], ['L', 1, 3, 112]]",1
220,738,P,7:25,95,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 1], ['L', 7, 3, 87]]",2
224,738,P,7:35,110,"[['U', 3, 4], ['U', 3, 3], ['L', 5, 3, 93]]",3
232,738,P,7:35,105,"[['U', 2, 4], ['U', 2, 3], ['L', 4, 3, 95]]",4
236,737,C,7:50,120,"[['U', 4, 4], ['U', 4, 4], ['U', 4, 4]]",66
