1.Id: m_1_33
2.The Number Of Stands: 21
3.The Number Of Flights: 45
4.The Number Of Tasks: 114
5.Flight Information Section
1,B737,P,0:10,90,"[['U', 1, 2], ['L', 3, 2, 79]]",3
2,B737,P,1:40,90,"[['U', 2, 2], ['L', 4, 3, 86]]",3
3,A320,P,0:10,175,"[['U', 2, 4], ['U', 2, 1], ['L', 5, 3, 84]]",4
6,A319,P,1:35,90,"[['U', 1, 3], ['L', 2, 2, 60]]",1
7,A320,P,0:30,60,"[['U', 3, 4], ['L', 1, 3, 88]]",6
8,A320,P,1:30,60,"[['U', 1, 4], ['U', 1, 1], ['L', 4, 3, 93]]",6
9,A321,P,0:35,175,"[['U', 2, 4], ['U', 2, 2], ['L', 3, 3, 112]]",7
12,A320,P,1:35,85,"[['U', 3, 3], ['L', 1, 3, 85]]",2
13,B737,P,0:40,60,"[['U', 1, 3], ['L', 4, 2, 61]]",8
14,B737,P,1:40,60,"[['U', 1, 2], ['L', 4, 2, 72]]",8
15,B738,P,0:45,55,"[['U', 3, 4], ['U', 3, 2], ['L', 2, 3, 117]]",9
16,B738,P,1:40,55,"[['U', 3, 4], ['U', 3, 1], ['L', 1, 3, 110]]",9
17,A320,P,0:45,85,"[['U', 1, 4], ['L', 5, 3, 100]]",10
18,A320,P,2:10,85,"[['U', 2, 3], ['L', 2, 3, 101]]",10
19,A320,P,0:50,60,"[['U', 1, 4], ['L', 2, 3, 103]]",11
20,A320,P,1:50,60,"[['U', 1, 4], ['L', 3, 3, 85]]",11
21,B777,C,1:05,165,"[['U', 2, 4], ['U', 2, 4], ['U', 2, 4], ['U', 2, 4]]",45
24,A320,P,2:25,85,"[['U', 3, 4], ['U', 3, 1], ['L', 3, 3, 90]]",5
25,B737,C,1:30,175,"[['U', 1, 4], ['U', 1, 2]]",44
28,B738,P,3:25,85,"[['U', 2, 4], ['U', 2, 2], ['L', 3, 3, 100]]",12
29,B777,C,2:40,145,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 4], ['U', 3, 3]]",43
30,B777,C,5:05,145,"[['U', 3, 4], ['U', 3, 4], ['U', 3, 4], ['U', 3, 1]]",43
31,B737,C,3:35,170,"[['U', 3, 4], ['U', 3, 3]]",46
34,A320,P,3:30,90,"[['U', 1, 4], ['L', 5, 3, 84]]",13
35,B737,C,4:20,55,"[['U', 2, 4], ['U', 2, 1]]",42
36,B737,C,5:15,55,"[['U', 1, 4], ['U', 1, 1]]",42
37,B737,C,5:05,160,"[['U', 3, 4], ['U', 3, 3]]",45
38,B737,C,7:45,160,"[['U', 2, 4], ['U', 2, 4]]",45
39,B777,C,6:30,80,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 4], ['U', 1, 1]]",44
40,B777,C,7:50,80,"[['U', 1, 4], ['U', 1, 4], ['U', 1, 4], ['U', 1, 1]]",44
44,A320,P,3:40,120,"[['U', 3, 4], ['L', 5, 3, 85]]",14
50,A320,P,3:45,100,"[['U', 2, 4], ['U', 2, 1], ['L', 3, 3, 104]]",15
68,A320,P,4:20,100,"[['U', 1, 3], ['L', 5, 3, 85]]",16
78,A320,P,5:00,110,"[['U', 1, 4], ['U', 1, 1], ['L', 4, 2, 80]]",1
82,B738,P,5:05,115,"[['U', 2, 4], ['U', 2, 3], ['L', 5, 3, 109]]",2
86,A320,P,5:20,100,"[['U', 1, 4], ['L', 3, 3, 102]]",3
90,B738,P,5:20,120,"[['U', 1, 4], ['U', 1, 2], ['L', 6, 2, 74]]",5
96,A320,P,5:35,110,"[['U', 3, 4], ['L', 2, 2, 73]]",6
104,B738,P,6:00,120,"[['U', 2, 4], ['L', 6, 3, 98]]",8
110,ARJ21,P,6:30,120,"[['U', 1, 3], ['L', 2, 2, 47]]",4
116,B738,P,6:30,95,"[['U', 3, 4], ['U', 3, 1], ['L', 5, 3, 95]]",7
124,B738,P,6:35,115,"[['U', 1, 4], ['L', 4, 3, 83]]",9
130,A320,P,6:40,120,"[['U', 2, 4], ['U', 2, 1], ['L', 5, 3, 106]]",10
138,A320,P,7:25,95,"[['U', 1, 4], ['U', 1, 1], ['L', 4, 2, 78]]",11
142,ARJ21,P,7:40,110,"[['U', 2, 3], ['L', 4, 2, 60]]",12
