1.Id: s_2_12
2.The Number Of Stands: 35
3.The Number Of Flights: 114
4.The Number Of Tasks: 259
5.Flight Information Section
48,B777,C,10:30,150,"[['U', 3, 3]]",46
52,A320,P,10:10,85,"[['U', 2, 2], ['L', 3, 2, 76]]",3
54,A320,P,10:30,90,"[['U', 3, 1], ['L', 1, 3, 94]]",4
56,A320,P,10:20,55,"[['U', 1, 1], ['L', 6, 3, 89]]",5
58,A320,P,10:50,85,"[['U', 1, 2], ['L', 3, 3, 105]]",13
60,ARJ21,P,10:30,50,"[['U', 1, 2], ['L', 3, 2, 55]]",7
70,B738,P,12:25,160,"[['U', 3, 1], ['L', 6, 2, 79]]",14
72,A320,P,10:35,45,"[['U', 2, 2], ['L', 2, 3, 83]]",6
73,B738,P,10:00,45,"[['U', 2, 1], ['U', 3, 1], ['L', 6, 2, 77]]",8
74,B738,P,10:45,45,"[['U', 3, 3], ['L', 6, 3, 109]]",8
75,A320,P,10:05,50,"[['U', 2, 2], ['U', 3, 1], ['L', 2, 3, 90]]",15
76,A320,P,10:55,50,"[['U', 2, 2], ['L', 6, 2, 78]]",15
77,ARJ21,P,10:10,45,"[['U', 2, 1], ['U', 1, 1], ['L', 1, 2, 44]]",17
78,ARJ21,P,10:55,45,"[['U', 3, 1], ['L', 2, 2, 57]]",17
79,A320,P,10:35,45,"[['U', 2, 1], ['U', 1, 1], ['L', 6, 3, 91]]",1
80,A320,P,11:20,45,"[['U', 1, 1], ['L', 4, 3, 83]]",1
81,A320,P,10:35,60,"[['U', 3, 1], ['L', 3, 3, 110]]",9
82,A320,P,11:35,60,"[['U', 2, 1], ['L', 3, 3, 83]]",9
83,A320,P,10:45,50,"[['U', 1, 1], ['U', 3, 1], ['L', 1, 3, 93]]",19
84,A320,P,11:35,50,"[['U', 1, 3], ['L', 1, 3, 81]]",19
85,A320,P,10:55,60,"[['U', 3, 1], ['L', 2, 2, 80]]",20
86,A320,P,11:55,60,"[['U', 2, 1], ['L', 4, 3, 82]]",20
87,A320,P,11:00,45,"[['U', 1, 1], ['U', 3, 1], ['L', 3, 3, 102]]",10
88,A320,P,11:45,45,"[['U', 1, 2], ['L', 4, 3, 87]]",10
89,B738,P,11:00,50,"[['U', 3, 1], ['L', 1, 3, 98]]",21
90,B738,P,11:50,50,"[['U', 3, 2], ['L', 1, 3, 111]]",21
91,ARJ21,P,11:10,45,"[['U', 1, 1], ['L', 2, 2, 52]]",22
92,ARJ21,P,11:55,45,"[['U', 1, 2], ['L', 6, 2, 41]]",22
93,ARJ21,P,11:15,50,"[['U', 3, 1], ['U', 2, 1], ['L', 3, 2, 56]]",5
94,ARJ21,P,12:05,50,"[['U', 3, 1], ['L', 3, 2, 59]]",5
95,A320,P,11:20,50,"[['U', 2, 1], ['U', 3, 1], ['L', 2, 3, 105]]",23
96,A320,P,12:10,50,"[['U', 1, 1], ['L', 2, 2, 76]]",23
97,B738,P,11:30,65,"[['U', 3, 2], ['U', 2, 1], ['L', 1, 2, 78]]",24
98,B738,P,12:35,65,"[['U', 1, 1], ['L', 6, 3, 83]]",24
99,B738,P,11:30,85,"[['U', 1, 1], ['L', 4, 2, 73]]",25
100,B738,P,12:55,85,"[['U', 1, 1], ['L', 4, 3, 97]]",25
101,B738,P,11:35,50,"[['U', 1, 1], ['L', 6, 3, 110]]",2
102,B738,P,12:25,50,"[['U', 1, 2], ['L', 6, 3, 101]]",2
103,B738,P,11:50,150,"[['U', 3, 1], ['U', 2, 2], ['L', 5, 3, 113]]",13
104,B738,P,14:20,150,"[['U', 2, 3], ['L', 1, 3, 90]]",13
105,B738,P,11:55,60,"[['U', 3, 1], ['U', 1, 1], ['L', 4, 3, 88]]",26
106,B738,P,12:55,60,"[['U', 1, 3], ['L', 4, 3, 94]]",26
107,A320,P,11:55,180,"[['U', 1, 1], ['L', 4, 3, 87]]",7
111,A320,P,12:05,160,"[['U', 3, 1], ['U', 2, 1], ['L', 4, 3, 101]]",11
115,B737,P,12:10,45,"[['U', 1, 1], ['L', 2, 2, 60]]",27
116,B737,P,12:55,45,"[['U', 3, 2], ['L', 3, 2, 74]]",27
117,A320,P,12:10,45,"[['U', 3, 1], ['U', 2, 2], ['L', 2, 3, 103]]",28
118,A320,P,12:55,45,"[['U', 2, 2], ['L', 3, 2, 71]]",28
119,A321,P,12:15,165,"[['U', 2, 1], ['L', 1, 3, 120]]",6
123,A320,P,12:35,45,"[['U', 1, 1], ['L', 2, 3, 93]]",9
124,A320,P,13:20,45,"[['U', 3, 2], ['L', 2, 2, 78]]",9
125,A320,P,12:35,50,"[['U', 2, 1], ['U', 3, 1], ['L', 4, 3, 94]]",29
126,A320,P,13:25,50,"[['U', 2, 1], ['L', 5, 3, 100]]",29
127,B738,P,12:45,170,"[['U', 3, 1], ['U', 1, 1], ['L', 1, 3, 82]]",4
131,B738,P,12:45,95,"[['U', 3, 1], ['L', 1, 3, 89]]",10
132,B738,P,14:20,95,"[['U', 3, 4], ['L', 1, 3, 84]]",10
133,A319,P,12:45,170,"[['U', 3, 1], ['L', 1, 2, 69]]",3
137,B738,P,12:50,160,"[['U', 2, 1], ['U', 1, 2], ['L', 2, 3, 99]]",8
141,B738,P,13:05,180,"[['U', 1, 2], ['U', 2, 1], ['L', 4, 3, 84]]",12
145,B738,P,13:10,100,"[['U', 2, 1], ['L', 5, 2, 79]]",20
146,B738,P,14:50,100,"[['U', 2, 3], ['L', 1, 3, 98]]",20
147,A321,P,13:20,170,"[['U', 3, 1], ['L', 5, 3, 97]]",15
151,A320,P,13:20,180,"[['U', 1, 1], ['U', 2, 1], ['L', 5, 2, 79]]",14
155,B738,P,13:20,50,"[['U', 1, 1], ['L', 3, 3, 104]]",2
156,B738,P,14:10,50,"[['U', 1, 3], ['L', 4, 3, 82]]",2
157,A320,P,13:35,55,"[['U', 3, 2], ['U', 2, 1], ['L', 5, 3, 82]]",21
158,A320,P,14:30,55,"[['U', 3, 3], ['L', 4, 3, 99]]",21
159,B738,P,13:50,55,"[['U', 1, 1], ['L', 5, 3, 97]]",16
160,B738,P,14:45,55,"[['U', 3, 3], ['L', 2, 3, 99]]",16
161,ARJ21,P,14:10,45,"[['U', 3, 1], ['L', 6, 2, 42]]",25
162,ARJ21,P,14:55,45,"[['U', 3, 2], ['L', 6, 2, 43]]",25
163,A320,P,14:15,45,"[['U', 3, 1], ['U', 2, 1], ['L', 4, 3, 102]]",33
164,A320,P,15:00,45,"[['U', 3, 3], ['L', 4, 3, 99]]",33
165,ARJ21,P,14:15,50,"[['U', 2, 1], ['U', 1, 1], ['L', 6, 2, 46]]",34
166,ARJ21,P,15:05,50,"[['U', 1, 1], ['L', 3, 2, 42]]",34
167,B738,P,14:20,60,"[['U', 3, 1], ['L', 4, 3, 90]]",31
168,B738,P,15:20,60,"[['U', 3, 1], ['L', 3, 3, 104]]",31
169,A320,P,14:35,45,"[['U', 1, 1], ['U', 2, 2], ['L', 4, 3, 99]]",32
170,A320,P,15:20,45,"[['U', 1, 1], ['L', 2, 3, 96]]",32
171,A320,P,14:40,45,"[['U', 2, 1], ['L', 5, 3, 93]]",30
172,A320,P,15:25,45,"[['U', 1, 2], ['L', 6, 3, 94]]",30
173,B738,P,14:40,60,"[['U', 3, 1], ['L', 6, 3, 108]]",26
174,B738,P,15:40,60,"[['U', 1, 3], ['L', 4, 3, 102]]",26
175,A319,P,14:50,45,"[['U', 3, 1], ['L', 5, 3, 85]]",27
176,A319,P,15:35,45,"[['U', 3, 2], ['L', 4, 2, 65]]",27
177,ARJ21,P,14:50,75,"[['U', 3, 1], ['U', 1, 1], ['L', 2, 2, 56]]",28
178,ARJ21,P,16:05,75,"[['U', 2, 1], ['L', 1, 1, 38]]",28
179,A320,P,15:10,170,"[['U', 2, 2], ['U', 3, 1], ['L', 3, 2, 78]]",2
183,B738,P,15:10,170,"[['U', 1, 1], ['U', 3, 1], ['L', 4, 3, 99]]",1
187,B738,P,15:15,160,"[['U', 1, 1], ['U', 3, 1], ['L', 1, 3, 115]]",5
191,A320,P,15:20,70,"[['U', 1, 1], ['L', 1, 3, 88]]",17
192,A320,P,16:30,70,"[['U', 3, 1], ['L', 2, 3, 110]]",17
193,B738,P,15:25,105,"[['U', 2, 1], ['L', 3, 3, 89]]",29
195,B738,P,15:40,175,"[['U', 2, 1], ['L', 6, 3, 97]]",9
199,B738,P,15:40,160,"[['U', 1, 1], ['U', 3, 1], ['L', 1, 3, 102]]",10
203,A320,P,16:00,50,"[['U', 2, 2], ['U', 3, 1], ['L', 2, 2, 77]]",7
204,A320,P,16:50,50,"[['U', 1, 2], ['L', 1, 3, 84]]",7
205,A320,P,16:05,165,"[['U', 3, 1], ['U', 2, 1], ['L', 2, 3, 106]]",13
209,A320,P,16:05,45,"[['U', 3, 1], ['U', 2, 1], ['L', 2, 3, 96]]",11
210,A320,P,16:50,45,"[['U', 1, 1], ['L', 5, 3, 95]]",11
211,ARJ21,P,16:15,55,"[['U', 1, 1], ['U', 2, 1], ['L', 1, 2, 47]]",6
213,B738,P,16:20,170,"[['U', 1, 1], ['U', 3, 1], ['L', 4, 3, 105]]",20
217,A320,P,16:25,160,"[['U', 1, 1], ['L', 4, 2, 68]]",21
232,ARJ21,P,10:05,110,"[['U', 3, 1], ['L', 5, 2, 59]]",10
236,ARJ21,P,10:35,110,"[['U', 2, 1], ['L', 3, 2, 58]]",11
246,A320,P,10:40,80,"[['U', 1, 1], ['L', 2, 3, 85]]",2
254,ARJ21,P,11:05,95,"[['U', 3, 1], ['L', 1, 2, 54]]",12
266,B738,P,14:15,85,"[['U', 2, 1], ['L', 5, 3, 81]]",1
270,B738,P,14:25,85,"[['U', 1, 1], ['L', 3, 3, 110]]",17
274,B738,P,15:35,80,"[['U', 2, 3], ['L', 1, 3, 94]]",18
280,B738,P,15:35,120,"[['U', 3, 2], ['L', 4, 2, 75]]",19
284,ARJ21,P,15:50,115,"[['U', 2, 1], ['L', 5, 2, 48]]",22
288,A320,P,16:00,90,"[['U', 3, 1], ['L', 1, 3, 83]]",23
298,A320,P,16:00,95,"[['U', 3, 2], ['L', 6, 2, 79]]",24
